# Input file: image000144
# Exptime: 0.0
# Total pixels: 2069000
# CR threshold: 9385.82844033313
# Event threshold: 3557.5835018757684
# Gaussian mean: 3503.6636580380637
# Gaussian stddev: 9.80360797049178
# EMGain Raw: 967.6964673397766
# Events Raw: 40290
# Number of unique clusters: 1
# Total pixels above CR_Threshold: 113
# Total pixels after CR_tails: 250
# Total pixels after CR_CR_Neighbours_CR_tails: 2829
# Gaussian mean corrected: 3505.900020712611
# Gaussian stddev corrected: 9.883155063864884
# Event Threshold Corrected: 3560.257373563868
# Events Corrected: 37758
# EMGain Corrected: 949.0969775242289
X,Y,Cluster
524,8,-1
970,21,-1
692,132,-1
70,70,-1
598,36,-1
888,211,-1
531,175,-1
254,107,-1
729,196,-1
12,6,-1
612,80,-1
69,70,-1
471,1,-1
523,8,-1
887,211,-1
691,132,-1
530,175,-1
969,21,-1
693,132,-1
253,107,-1
599,36,-1
730,196,-1
11,6,-1
611,80,-1
472,1,-1
596,296,-1
311,474,-1
24,338,-1
26,338,-1
845,469,-1
310,289,-1
838,320,-1
479,250,-1
801,258,-1
900,374,-1
420,436,-1
63,262,-1
960,281,-1
419,436,-1
837,320,-1
310,474,-1
597,296,-1
844,469,-1
959,282,-1
311,289,-1
62,262,-1
899,374,-1
25,338,-1
480,250,-1
959,281,-1
802,258,-1
418,436,-1
958,282,-1
734,489,-1
873,623,-1
461,617,-1
687,752,-1
156,591,-1
117,764,-1
591,729,-1
689,752,-1
589,729,-1
606,504,-1
936,614,-1
803,505,-1
163,703,-1
874,623,-1
981,542,-1
735,489,-1
462,617,-1
688,752,-1
689,751,-1
605,504,-1
590,729,-1
157,591,-1
118,764,-1
164,703,-1
935,614,-1
804,505,-1
980,542,-1
688,751,-1
870,779,-1
893,781,-1
14,797,-1
455,799,-1
872,779,-1
681,815,-1
367,814,-1
620,774,-1
99,767,-1
471,776,-1
583,779,-1
892,781,-1
584,778,-1
994,844,-1
366,814,-1
454,799,-1
13,797,-1
680,815,-1
871,779,-1
470,776,-1
583,778,-1
891,781,-1
621,774,-1
100,767,-1
995,844,-1
582,779,-1
363,872,-1
365,872,-1
899,1038,-1
854,1015,-1
678,987,-1
701,995,-1
327,851,-1
887,947,-1
204,1052,-1
608,1032,-1
576,936,-1
699,994,-1
384,857,-1
701,994,-1
364,872,-1
898,1038,-1
855,1015,-1
328,851,-1
575,936,-1
679,987,-1
577,936,-1
609,1032,-1
700,994,-1
888,947,-1
205,1052,-1
385,857,-1
62,1216,-1
897,1227,-1
369,1162,-1
632,1139,-1
651,1180,-1
659,1193,-1
653,1180,-1
660,1137,-1
333,1053,-1
635,1220,-1
896,1227,-1
549,1174,-1
639,1147,-1
661,1137,-1
332,1053,-1
63,1216,-1
370,1162,-1
633,1139,-1
652,1180,-1
548,1174,-1
634,1220,-1
638,1147,-1
660,1193,-1
499,1379,-1
813,1331,-1
574,1293,-1
979,1299,-1
715,1357,-1
59,1394,-1
825,1317,-1
250,1379,-1
177,1318,-1
999,1231,-1
968,1329,-1
979,1298,-1
58,1394,-1
812,1331,-1
978,1299,-1
714,1357,-1
500,1379,-1
575,1293,-1
251,1379,-1
176,1318,-1
998,1231,-1
826,1317,-1
978,1298,-1
969,1329,-1
436,1631,-1
321,1589,-1
875,1602,-1
879,1456,-1
766,1524,-1
188,1456,-1
276,1697,-1
54,1654,-1
278,1697,-1
150,1673,-1
124,1419,-1
542,1529,-1
55,1654,-1
320,1589,-1
874,1602,-1
437,1631,-1
878,1456,-1
765,1524,-1
187,1456,-1
277,1697,-1
541,1529,-1
151,1673,-1
125,1419,-1
834,1790,-1
622,1773,-1
302,1807,-1
960,1792,-1
630,1740,-1
18,1789,-1
11,1753,-1
962,1792,-1
13,1753,-1
841,1749,-1
621,1773,-1
623,1773,-1
318,1763,-1
295,1752,-1
833,1790,-1
416,1779,-1
631,1740,-1
19,1789,-1
12,1753,-1
303,1807,-1
294,1752,-1
961,1792,-1
842,1749,-1
319,1763,-1
415,1779,-1
714,1868,-1
967,1993,-1
846,1874,-1
341,1915,-1
97,2006,-1
256,1874,-1
931,1939,-1
919,1974,-1
536,1943,-1
696,1837,-1
798,1894,-1
845,1874,-1
715,1868,-1
340,1915,-1
932,1939,-1
920,1974,-1
98,2006,-1
257,1874,-1
968,1993,-1
797,1894,-1
537,1943,-1
697,1837,-1
525,8,-1
526,8,-1
527,8,-1
840,8,-1
901,8,-1
950,8,-1
951,8,-1
952,8,-1
953,8,-1
962,8,-1
971,21,-1
972,21,-1
977,21,-1
694,132,-1
695,132,-1
696,132,-1
748,132,-1
749,132,-1
761,132,-1
762,132,-1
763,132,-1
71,70,-1
72,70,-1
312,70,-1
313,70,-1
314,70,-1
315,70,-1
341,70,-1
394,70,-1
398,70,-1
411,70,-1
412,70,-1
413,70,-1
414,70,-1
502,70,-1
576,70,-1
682,70,-1
683,70,-1
684,70,-1
752,70,-1
753,70,-1
754,70,-1
755,70,-1
992,70,-1
993,70,-1
994,70,-1
995,70,-1
600,36,-1
601,36,-1
602,36,-1
603,36,-1
654,36,-1
704,36,-1
705,36,-1
706,36,-1
717,36,-1
718,36,-1
763,36,-1
764,36,-1
765,36,-1
766,36,-1
767,36,-1
924,36,-1
975,36,-1
976,36,-1
977,36,-1
979,36,-1
889,211,-1
890,211,-1
932,211,-1
532,175,-1
575,175,-1
729,175,-1
730,175,-1
731,175,-1
732,175,-1
804,175,-1
805,175,-1
806,175,-1
808,175,-1
855,175,-1
992,175,-1
993,175,-1
994,175,-1
995,175,-1
257,107,-1
258,107,-1
374,107,-1
406,107,-1
407,107,-1
434,107,-1
545,107,-1
546,107,-1
547,107,-1
757,107,-1
758,107,-1
759,107,-1
953,107,-1
954,107,-1
990,107,-1
731,196,-1
784,196,-1
932,196,-1
933,196,-1
934,196,-1
13,6,-1
15,6,-1
36,6,-1
150,6,-1
174,6,-1
175,6,-1
176,6,-1
313,6,-1
314,6,-1
315,6,-1
390,6,-1
500,6,-1
501,6,-1
514,6,-1
515,6,-1
516,6,-1
762,6,-1
613,80,-1
672,80,-1
769,80,-1
770,80,-1
771,80,-1
772,80,-1
873,80,-1
972,80,-1
973,80,-1
473,1,-1
491,1,-1
779,1,-1
780,1,-1
781,1,-1
782,1,-1
790,1,-1
791,1,-1
792,1,-1
808,1,-1
838,1,-1
839,1,-1
862,1,-1
864,1,-1
874,1,-1
598,296,-1
599,296,-1
608,296,-1
651,296,-1
915,296,-1
916,296,-1
917,296,-1
918,296,-1
312,474,-1
313,474,-1
314,474,-1
316,474,-1
321,474,-1
322,474,-1
323,474,-1
416,474,-1
417,474,-1
418,474,-1
419,474,-1
439,474,-1
440,474,-1
443,474,-1
687,474,-1
688,474,-1
689,474,-1
690,474,-1
792,474,-1
793,474,-1
794,474,-1
897,474,-1
915,474,-1
27,338,-1
28,338,-1
29,338,-1
30,338,-1
130,338,-1
131,338,-1
132,338,-1
133,338,-1
134,338,-1
481,338,-1
483,338,-1
484,338,-1
508,338,-1
509,338,-1
510,338,-1
516,338,-1
650,338,-1
651,338,-1
652,338,-1
653,338,-1
770,338,-1
773,338,-1
888,338,-1
889,338,-1
890,338,-1
896,338,-1
913,338,-1
929,338,-1
930,338,-1
931,338,-1
977,338,-1
978,338,-1
846,469,-1
847,469,-1
848,469,-1
870,469,-1
871,469,-1
946,469,-1
947,469,-1
994,469,-1
995,469,-1
996,469,-1
997,469,-1
312,289,-1
319,289,-1
320,289,-1
321,289,-1
339,289,-1
340,289,-1
341,289,-1
342,289,-1
346,289,-1
445,289,-1
526,289,-1
527,289,-1
725,289,-1
726,289,-1
727,289,-1
728,289,-1
871,289,-1
890,289,-1
891,289,-1
892,289,-1
893,289,-1
894,289,-1
912,289,-1
839,320,-1
862,320,-1
863,320,-1
865,320,-1
872,320,-1
873,320,-1
874,320,-1
481,250,-1
482,250,-1
483,250,-1
484,250,-1
524,250,-1
526,250,-1
602,250,-1
603,250,-1
604,250,-1
618,250,-1
686,250,-1
834,250,-1
835,250,-1
836,250,-1
839,250,-1
840,250,-1
841,250,-1
993,250,-1
994,250,-1
995,250,-1
803,258,-1
913,258,-1
914,258,-1
915,258,-1
948,258,-1
949,258,-1
950,258,-1
983,258,-1
901,374,-1
902,374,-1
903,374,-1
421,436,-1
431,436,-1
564,436,-1
567,436,-1
636,436,-1
637,436,-1
638,436,-1
730,436,-1
731,436,-1
879,436,-1
880,436,-1
881,436,-1
882,436,-1
883,436,-1
967,436,-1
968,436,-1
969,436,-1
64,262,-1
65,262,-1
72,262,-1
96,262,-1
205,262,-1
206,262,-1
228,262,-1
229,262,-1
230,262,-1
288,262,-1
301,262,-1
308,262,-1
309,262,-1
310,262,-1
320,262,-1
321,262,-1
322,262,-1
323,262,-1
504,262,-1
780,262,-1
781,262,-1
782,262,-1
783,262,-1
789,262,-1
790,262,-1
868,262,-1
869,262,-1
871,262,-1
872,262,-1
875,262,-1
961,281,-1
736,489,-1
737,489,-1
830,489,-1
851,489,-1
852,489,-1
853,489,-1
854,489,-1
894,489,-1
875,623,-1
877,623,-1
965,623,-1
966,623,-1
463,617,-1
464,617,-1
557,617,-1
558,617,-1
614,617,-1
625,617,-1
654,617,-1
