# Input file: image000019
# Exptime: 2.0
# Total pixels: 2069000
# CR threshold: 12116.475039913295
# Event threshold: 3164.944391734537
# Gaussian mean: 3082.1295581517224
# Gaussian stddev: 15.05724246960262
# EMGain Raw: 1826.7855861583582
# Events Raw: 19544
# Number of unique clusters: 3
# Total pixels above CR_Threshold: 23
# Total pixels after CR_tails: 112
# Total pixels after CR_CR_Neighbours_CR_tails: 4133
# Gaussian mean corrected: 3095.9683121882927
# Gaussian stddev corrected: 11.272459672584326
# Event Threshold Corrected: 3157.9668403875066
# Events Corrected: 20263
# EMGain Corrected: 1607.3960035486677
X,Y,Cluster
571,858,0
572,858,0
570,857,0
573,858,0
571,857,0
574,858,0
572,857,0
573,857,0
574,857,0
575,858,0
576,858,0
577,858,0
575,857,0
576,857,0
577,857,0
572,859,0
573,859,0
574,859,0
570,859,0
571,859,0
577,859,0
575,859,0
576,859,0
578,859,0
579,859,0
578,858,0
579,858,0
578,857,0
579,857,0
572,860,0
580,858,0
580,857,0
580,859,0
571,860,0
574,860,0
573,860,0
75,1685,-1
76,1685,-1
852,1173,-1
853,1173,-1
609,1688,1
607,1689,1
607,1688,1
608,1687,1
609,1687,1
606,1689,1
608,1689,1
607,1687,1
606,1688,1
609,1689,1
608,1688,1
606,1690,1
609,1690,1
608,1690,1
607,1690,1
77,1685,-1
78,1685,-1
79,1685,-1
81,1685,-1
294,1685,-1
450,1685,-1
495,1685,-1
510,1685,-1
534,1685,-1
535,1685,-1
638,1685,-1
967,1685,-1
854,1173,-1
855,1173,-1
856,1173,-1
857,1173,-1
581,858,0
582,858,0
583,858,0
584,858,0
585,858,0
586,858,0
587,858,0
588,858,0
589,858,0
590,858,0
591,858,0
592,858,0
593,858,0
594,858,0
595,858,0
596,858,0
597,858,0
598,858,0
599,858,0
600,858,0
601,858,0
602,858,0
603,858,0
604,858,0
605,858,0
606,858,0
659,858,0
665,858,0
670,858,0
675,858,0
681,858,0
682,858,0
685,858,0
689,858,0
690,858,0
691,858,0
692,858,0
693,858,0
711,858,0
713,858,0
721,858,0
724,858,0
730,858,0
731,858,0
737,858,0
743,858,0
744,858,0
745,858,0
746,858,0
747,858,0
766,858,0
767,858,0
774,858,0
779,858,0
780,858,0
786,858,0
815,858,0
821,858,0
829,858,0
845,858,0
846,858,0
856,858,0
871,858,0
891,858,0
921,858,0
943,858,0
581,857,0
582,857,0
583,857,0
584,857,0
585,857,0
586,857,0
587,857,0
588,857,0
589,857,0
590,857,0
591,857,0
592,857,0
593,857,0
594,857,0
595,857,0
596,857,0
597,857,0
598,857,0
599,857,0
600,857,0
601,857,0
602,857,0
603,857,0
604,857,0
605,857,0
651,857,0
662,857,0
672,857,0
681,857,0
683,857,0
729,857,0
738,857,0
740,857,0
742,857,0
786,857,0
787,857,0
804,857,0
866,857,0
889,857,0
930,857,0
963,857,0
969,857,0
999,857,0
581,859,0
582,859,0
583,859,0
584,859,0
585,859,0
586,859,0
587,859,0
588,859,0
589,859,0
590,859,0
591,859,0
593,859,0
686,859,0
787,859,0
799,859,0
832,859,0
970,859,0
976,859,0
575,860,0
576,860,0
577,860,0
578,860,0
579,860,0
580,860,0
581,860,0
582,860,0
712,860,0
732,860,0
860,860,0
991,860,0
610,1688,1
611,1688,1
612,1688,1
613,1688,1
614,1688,1
615,1688,1
616,1688,1
617,1688,1
618,1688,1
619,1688,1
620,1688,1
621,1688,1
622,1688,1
623,1688,1
624,1688,1
625,1688,1
626,1688,1
627,1688,1
628,1688,1
629,1688,1
630,1688,1
631,1688,1
688,1688,1
742,1688,1
749,1688,1
760,1688,1
768,1688,1
812,1688,1
848,1688,1
850,1688,1
856,1688,1
996,1688,1
610,1689,1
611,1689,1
612,1689,1
613,1689,1
614,1689,1
615,1689,1
616,1689,1
617,1689,1
618,1689,1
619,1689,1
620,1689,1
621,1689,1
622,1689,1
623,1689,1
624,1689,1
625,1689,1
626,1689,1
627,1689,1
628,1689,1
629,1689,1
630,1689,1
631,1689,1
632,1689,1
636,1689,1
661,1689,1
689,1689,1
691,1689,1
806,1689,1
933,1689,1
610,1687,1
715,1687,1
865,1687,1
610,1690,1
611,1690,1
612,1690,1
613,1690,1
714,1690,1
