# Input file: image000143
# Exptime: 0.0
# Total pixels: 2069000
# CR threshold: 9939.821352221854
# Event threshold: 3164.4079107790326
# Gaussian mean: 3101.7253642223704
# Gaussian stddev: 11.396826646665804
# EMGain Raw: 1605.9266080304467
# Events Raw: 19978
# Number of unique clusters: 1
# Total pixels above CR_Threshold: 21
# Total pixels after CR_tails: 43
# Total pixels after CR_CR_Neighbours_CR_tails: 376
# Gaussian mean corrected: 3102.9333645506385
# Gaussian stddev corrected: 11.578625757345073
# Event Threshold Corrected: 3166.6158062160366
# Events Corrected: 19492
# EMGain Corrected: 1608.6696091666643
X,Y,Cluster
172,379,-1
151,447,-1
171,379,-1
152,447,-1
682,327,-1
683,327,-1
989,671,-1
988,672,-1
947,504,-1
948,504,-1
988,671,-1
780,754,-1
413,835,-1
779,754,-1
414,835,-1
74,928,-1
75,928,-1
357,981,-1
358,981,-1
762,1196,-1
993,1178,-1
763,1196,-1
992,1178,-1
769,1270,-1
300,1361,-1
768,1270,-1
299,1361,-1
101,1474,-1
102,1474,-1
74,1380,-1
75,1380,-1
333,1972,-1
551,1994,-1
552,1994,-1
332,1972,-1
652,2008,-1
653,2008,-1
442,2012,-1
443,2012,-1
688,2030,-1
689,2030,-1
215,2057,-1
216,2057,-1
173,379,-1
174,379,-1
176,379,-1
232,379,-1
338,379,-1
413,379,-1
517,379,-1
679,379,-1
756,379,-1
879,379,-1
895,379,-1
899,379,-1
923,379,-1
153,447,-1
154,447,-1
155,447,-1
156,447,-1
161,447,-1
240,447,-1
421,447,-1
424,447,-1
443,447,-1
818,447,-1
684,327,-1
685,327,-1
688,327,-1
780,327,-1
842,327,-1
872,327,-1
909,327,-1
948,327,-1
949,327,-1
980,327,-1
990,671,-1
991,671,-1
992,671,-1
993,671,-1
949,504,-1
950,504,-1
951,504,-1
952,504,-1
953,504,-1
954,504,-1
999,504,-1
781,754,-1
782,754,-1
869,754,-1
871,754,-1
960,754,-1
415,835,-1
730,835,-1
846,835,-1
868,835,-1
916,835,-1
938,835,-1
975,835,-1
76,928,-1
77,928,-1
78,928,-1
79,928,-1
155,928,-1
326,928,-1
588,928,-1
658,928,-1
973,928,-1
989,928,-1
359,981,-1
362,981,-1
395,981,-1
429,981,-1
514,981,-1
519,981,-1
537,981,-1
817,981,-1
850,981,-1
764,1196,-1
765,1196,-1
766,1196,-1
812,1196,-1
994,1178,-1
995,1178,-1
996,1178,-1
770,1270,-1
771,1270,-1
772,1270,-1
301,1361,-1
302,1361,-1
354,1361,-1
366,1361,-1
427,1361,-1
428,1361,-1
429,1361,-1
467,1361,-1
598,1361,-1
644,1361,-1
760,1361,-1
792,1361,-1
813,1361,-1
845,1361,-1
864,1361,-1
896,1361,-1
937,1361,-1
980,1361,-1
103,1474,-1
104,1474,-1
105,1474,-1
107,1474,-1
120,1474,-1
128,1474,-1
279,1474,-1
361,1474,-1
412,1474,-1
507,1474,-1
601,1474,-1
612,1474,-1
894,1474,-1
935,1474,-1
967,1474,-1
976,1474,-1
76,1380,-1
77,1380,-1
79,1380,-1
97,1380,-1
179,1380,-1
365,1380,-1
543,1380,-1
571,1380,-1
798,1380,-1
873,1380,-1
958,1380,-1
976,1380,-1
993,1380,-1
334,1972,-1
335,1972,-1
336,1972,-1
337,1972,-1
338,1972,-1
523,1972,-1
559,1972,-1
694,1972,-1
698,1972,-1
825,1972,-1
826,1972,-1
828,1972,-1
553,1994,-1
554,1994,-1
556,1994,-1
614,1994,-1
833,1994,-1
834,1994,-1
917,1994,-1
654,2008,-1
655,2008,-1
656,2008,-1
752,2008,-1
861,2008,-1
891,2008,-1
920,2008,-1
922,2008,-1
444,2012,-1
446,2012,-1
486,2012,-1
660,2012,-1
937,2012,-1
975,2012,-1
690,2030,-1
692,2030,-1
728,2030,-1
731,2030,-1
913,2030,-1
950,2030,-1
217,2057,-1
218,2057,-1
219,2057,-1
220,2057,-1
260,2057,-1
326,2057,-1
431,2057,-1
434,2057,-1
483,2057,-1
485,2057,-1
517,2057,-1
660,2057,-1
661,2057,-1
834,2057,-1
838,2057,-1
975,2057,-1
991,2057,-1
