# Input file: image000141
# Exptime: 0.0
# Total pixels: 2118656
# CR threshold: 10091.373842862944
# Event threshold: 3549.773309508381
# Gaussian mean: 3489.2538764832334
# Gaussian stddev: 11.003533277299518
# EMGain Raw: 1015.8699142569686
# Events Raw: 37400
# Number of unique clusters: 1
# Total pixels above CR_Threshold: 50
# Total pixels after CR_tails: 105
# Total pixels after CR_CR_Neighbours_CR_tails: 1129
# Gaussian mean corrected: 3490.8404189136563
# Gaussian stddev corrected: 10.670439456577768
# Event Threshold Corrected: 3549.527835924834
# Events Corrected: 36739
# EMGain Corrected: 985.4812782294036
X,Y,Cluster
990,138,-1
990,64,-1
877,119,-1
878,119,-1
83,29,-1
84,29,-1
991,64,-1
991,138,-1
410,60,-1
411,60,-1
790,272,-1
472,300,-1
404,312,-1
473,300,-1
405,312,-1
569,278,-1
546,232,-1
471,301,-1
472,301,-1
568,278,-1
791,272,-1
473,301,-1
547,232,-1
75,386,-1
388,350,-1
74,386,-1
869,426,-1
108,507,-1
868,426,-1
113,465,-1
387,350,-1
112,465,-1
107,507,-1
630,698,-1
167,647,-1
502,612,-1
168,647,-1
503,612,-1
631,698,-1
38,614,-1
72,554,-1
39,614,-1
71,554,-1
210,856,-1
412,743,-1
211,856,-1
413,743,-1
794,787,-1
239,939,-1
240,939,-1
793,786,-1
774,860,-1
794,786,-1
775,860,-1
349,1011,-1
248,1109,-1
478,942,-1
565,983,-1
479,942,-1
249,1109,-1
566,983,-1
475,1036,-1
476,1036,-1
348,1011,-1
399,1111,-1
536,1357,-1
661,1447,-1
850,1176,-1
851,1176,-1
971,1452,-1
972,1452,-1
660,1447,-1
398,1111,-1
537,1357,-1
911,1491,-1
477,1493,-1
132,1517,-1
585,1462,-1
133,1517,-1
912,1491,-1
476,1493,-1
851,1477,-1
586,1462,-1
850,1477,-1
804,1544,-1
614,1540,-1
615,1540,-1
823,1706,-1
269,1712,-1
824,1706,-1
805,1544,-1
647,1621,-1
648,1621,-1
268,1712,-1
669,1805,-1
536,1953,-1
1004,1784,-1
522,2029,-1
523,2029,-1
697,1922,-1
524,2029,-1
1003,1784,-1
537,1953,-1
670,1805,-1
698,1922,-1
992,138,-1
1003,138,-1
992,64,-1
879,119,-1
880,119,-1
987,119,-1
85,29,-1
259,29,-1
581,29,-1
582,29,-1
584,29,-1
675,29,-1
676,29,-1
912,29,-1
412,60,-1
413,60,-1
414,60,-1
422,60,-1
848,60,-1
849,60,-1
792,272,-1
793,272,-1
474,300,-1
475,300,-1
626,300,-1
644,300,-1
645,300,-1
868,300,-1
869,300,-1
870,300,-1
871,300,-1
406,312,-1
407,312,-1
456,312,-1
471,312,-1
524,312,-1
525,312,-1
527,312,-1
778,312,-1
779,312,-1
780,312,-1
570,278,-1
571,278,-1
691,278,-1
730,278,-1
731,278,-1
759,278,-1
760,278,-1
761,278,-1
762,278,-1
830,278,-1
831,278,-1
832,278,-1
833,278,-1
834,278,-1
1016,278,-1
1017,278,-1
1018,278,-1
548,232,-1
549,232,-1
572,232,-1
573,232,-1
574,232,-1
577,232,-1
781,232,-1
801,232,-1
820,232,-1
868,232,-1
869,232,-1
870,232,-1
871,232,-1
484,301,-1
521,301,-1
522,301,-1
523,301,-1
862,301,-1
863,301,-1
866,301,-1
913,301,-1
946,301,-1
947,301,-1
962,301,-1
963,301,-1
965,301,-1
77,386,-1
79,386,-1
800,386,-1
922,386,-1
967,386,-1
968,386,-1
969,386,-1
389,350,-1
390,350,-1
472,350,-1
473,350,-1
474,350,-1
534,350,-1
535,350,-1
536,350,-1
887,350,-1
899,350,-1
957,350,-1
958,350,-1
870,426,-1
1011,426,-1
109,507,-1
110,507,-1
388,507,-1
389,507,-1
390,507,-1
475,507,-1
613,507,-1
614,507,-1
664,507,-1
665,507,-1
666,507,-1
667,507,-1
669,507,-1
702,507,-1
703,507,-1
704,507,-1
705,507,-1
970,507,-1
999,507,-1
1000,507,-1
1001,507,-1
1002,507,-1
1004,507,-1
114,465,-1
135,465,-1
136,465,-1
137,465,-1
164,465,-1
165,465,-1
167,465,-1
358,465,-1
662,465,-1
673,465,-1
840,465,-1
841,465,-1
842,465,-1
632,698,-1
633,698,-1
634,698,-1
776,698,-1
777,698,-1
778,698,-1
820,698,-1
821,698,-1
1019,698,-1
1020,698,-1
169,647,-1
170,647,-1
171,647,-1
173,647,-1
174,647,-1
201,647,-1
249,647,-1
250,647,-1
251,647,-1
266,647,-1
338,647,-1
339,647,-1
340,647,-1
494,647,-1
495,647,-1
691,647,-1
692,647,-1
758,647,-1
759,647,-1
760,647,-1
761,647,-1
762,647,-1
879,647,-1
880,647,-1
1005,647,-1
1006,647,-1
504,612,-1
540,612,-1
787,612,-1
788,612,-1
789,612,-1
790,612,-1
860,612,-1
989,612,-1
990,612,-1
993,612,-1
994,612,-1
995,612,-1
996,612,-1
997,612,-1
40,614,-1
41,614,-1
91,614,-1
92,614,-1
93,614,-1
165,614,-1
166,614,-1
172,614,-1
173,614,-1
177,614,-1
178,614,-1
270,614,-1
601,614,-1
603,614,-1
604,614,-1
606,614,-1
607,614,-1
853,614,-1
205,554,-1
206,554,-1
207,554,-1
208,554,-1
230,554,-1
370,554,-1
469,554,-1
470,554,-1
471,554,-1
472,554,-1
562,554,-1
688,554,-1
212,856,-1
273,856,-1
274,856,-1
364,856,-1
366,856,-1
488,856,-1
489,856,-1
491,856,-1
670,856,-1
732,856,-1
853,856,-1
414,743,-1
629,743,-1
630,743,-1
631,743,-1
632,743,-1
657,743,-1
658,743,-1
659,743,-1
660,743,-1
794,743,-1
795,743,-1
797,743,-1
847,743,-1
796,787,-1
909,787,-1
910,787,-1
911,787,-1
915,787,-1
916,787,-1
950,787,-1
951,787,-1
998,787,-1
241,939,-1
242,939,-1
243,939,-1
254,939,-1
255,939,-1
256,939,-1
257,939,-1
264,939,-1
265,939,-1
266,939,-1
329,939,-1
649,939,-1
733,939,-1
820,939,-1
821,939,-1
913,939,-1
914,939,-1
917,939,-1
918,939,-1
919,939,-1
992,939,-1
993,939,-1
994,939,-1
795,786,-1
796,786,-1
776,860,-1
861,860,-1
862,860,-1
863,860,-1
865,860,-1
895,860,-1
896,860,-1
897,860,-1
996,860,-1
350,1011,-1
351,1011,-1
410,1011,-1
411,1011,-1
412,1011,-1
414,1011,-1
501,1011,-1
502,1011,-1
503,1011,-1
537,1011,-1
606,1011,-1
680,1011,-1
776,1011,-1
777,1011,-1
781,1011,-1
782,1011,-1
880,1011,-1
881,1011,-1
882,1011,-1
898,1011,-1
899,1011,-1
900,1011,-1
917,1011,-1
918,1011,-1
919,1011,-1
250,1109,-1
251,1109,-1
535,1109,-1
609,1109,-1
610,1109,-1
776,1109,-1
851,1109,-1
852,1109,-1
892,1109,-1
480,942,-1
481,942,-1
891,942,-1
892,942,-1
567,983,-1
568,983,-1
570,983,-1
672,983,-1
673,983,-1
674,983,-1
675,983,-1
746,983,-1
747,983,-1
969,983,-1
984,983,-1
477,1036,-1
595,1036,-1
596,1036,-1
899,1036,-1
934,1036,-1
1009,1036,-1
1010,1036,-1
1011,1036,-1
400,1111,-1
401,1111,-1
717,1111,-1
776,1111,-1
777,1111,-1
779,1111,-1
956,1111,-1
957,1111,-1
958,1111,-1
959,1111,-1
960,1111,-1
961,1111,-1
962,1111,-1
538,1357,-1
554,1357,-1
555,1357,-1
669,1357,-1
745,1357,-1
746,1357,-1
747,1357,-1
748,1357,-1
778,1357,-1
903,1357,-1
960,1357,-1
961,1357,-1
962,1357,-1
963,1357,-1
964,1357,-1
996,1357,-1
997,1357,-1
998,1357,-1
999,1357,-1
662,1447,-1
884,1447,-1
886,1447,-1
953,1447,-1
954,1447,-1
955,1447,-1
956,1447,-1
957,1447,-1
978,1447,-1
979,1447,-1
980,1447,-1
981,1447,-1
982,1447,-1
852,1176,-1
853,1176,-1
854,1176,-1
868,1176,-1
938,1176,-1
939,1176,-1
940,1176,-1
