# Input file: image000134
# Exptime: 0.0
# Total pixels: 2069000
# CR threshold: 10031.91862359196
# Event threshold: 3160.3658999006802
# Gaussian mean: 3096.793923483015
# Gaussian stddev: 11.558541166848242
# EMGain Raw: 1692.4032066119937
# Events Raw: 19965
# Number of unique clusters: 1
# Total pixels above CR_Threshold: 19
# Total pixels after CR_tails: 38
# Total pixels after CR_CR_Neighbours_CR_tails: 390
# Gaussian mean corrected: 3097.499016961012
# Gaussian stddev corrected: 10.310855328194547
# Event Threshold Corrected: 3154.2087212660817
# Events Corrected: 20775
# EMGain Corrected: 1554.4144190100703
X,Y,Cluster
61,95,-1
404,149,-1
62,95,-1
403,149,-1
443,232,-1
709,171,-1
444,232,-1
710,171,-1
859,460,-1
419,277,-1
860,460,-1
420,277,-1
289,495,-1
352,523,-1
290,495,-1
351,523,-1
171,699,-1
233,881,-1
234,881,-1
170,699,-1
73,1020,-1
19,1127,-1
74,1020,-1
20,1127,-1
388,1307,-1
642,1356,-1
389,1307,-1
643,1356,-1
414,1579,-1
445,1428,-1
413,1579,-1
446,1428,-1
460,1778,-1
821,1785,-1
461,1778,-1
822,1785,-1
570,1971,-1
569,1971,-1
63,95,-1
64,95,-1
65,95,-1
66,95,-1
67,95,-1
68,95,-1
150,95,-1
183,95,-1
191,95,-1
313,95,-1
335,95,-1
414,95,-1
429,95,-1
526,95,-1
632,95,-1
660,95,-1
898,95,-1
405,149,-1
406,149,-1
407,149,-1
411,149,-1
444,149,-1
456,149,-1
788,149,-1
789,149,-1
834,149,-1
872,149,-1
909,149,-1
445,232,-1
446,232,-1
447,232,-1
448,232,-1
449,232,-1
542,232,-1
581,232,-1
640,232,-1
648,232,-1
662,232,-1
667,232,-1
718,232,-1
782,232,-1
952,232,-1
711,171,-1
712,171,-1
713,171,-1
929,171,-1
861,460,-1
862,460,-1
863,460,-1
864,460,-1
865,460,-1
866,460,-1
992,460,-1
421,277,-1
422,277,-1
423,277,-1
482,277,-1
606,277,-1
805,277,-1
813,277,-1
291,495,-1
292,495,-1
293,495,-1
294,495,-1
297,495,-1
592,495,-1
676,495,-1
696,495,-1
760,495,-1
353,523,-1
354,523,-1
355,523,-1
358,523,-1
362,523,-1
384,523,-1
471,523,-1
686,523,-1
690,523,-1
855,523,-1
908,523,-1
945,523,-1
172,699,-1
173,699,-1
174,699,-1
190,699,-1
194,699,-1
206,699,-1
336,699,-1
633,699,-1
793,699,-1
877,699,-1
235,881,-1
236,881,-1
237,881,-1
238,881,-1
239,881,-1
336,881,-1
389,881,-1
456,881,-1
651,881,-1
856,881,-1
75,1020,-1
76,1020,-1
77,1020,-1
78,1020,-1
422,1020,-1
437,1020,-1
476,1020,-1
583,1020,-1
742,1020,-1
21,1127,-1
22,1127,-1
23,1127,-1
37,1127,-1
148,1127,-1
201,1127,-1
211,1127,-1
223,1127,-1
249,1127,-1
398,1127,-1
420,1127,-1
446,1127,-1
480,1127,-1
525,1127,-1
537,1127,-1
599,1127,-1
721,1127,-1
867,1127,-1
390,1307,-1
391,1307,-1
392,1307,-1
413,1307,-1
448,1307,-1
518,1307,-1
572,1307,-1
830,1307,-1
926,1307,-1
644,1356,-1
645,1356,-1
646,1356,-1
647,1356,-1
648,1356,-1
664,1356,-1
668,1356,-1
773,1356,-1
805,1356,-1
806,1356,-1
415,1579,-1
416,1579,-1
417,1579,-1
418,1579,-1
420,1579,-1
575,1579,-1
577,1579,-1
615,1579,-1
616,1579,-1
627,1579,-1
914,1579,-1
915,1579,-1
936,1579,-1
447,1428,-1
448,1428,-1
449,1428,-1
450,1428,-1
451,1428,-1
453,1428,-1
584,1428,-1
462,1778,-1
463,1778,-1
464,1778,-1
465,1778,-1
591,1778,-1
621,1778,-1
688,1778,-1
734,1778,-1
823,1785,-1
824,1785,-1
825,1785,-1
826,1785,-1
832,1785,-1
571,1971,-1
572,1971,-1
573,1971,-1
574,1971,-1
576,1971,-1
578,1971,-1
584,1971,-1
585,1971,-1
707,1971,-1
712,1971,-1
807,1971,-1
867,1971,-1
883,1971,-1
889,1971,-1
965,1971,-1
